id,crop,category,intent,question,answer,region,soil,timestamp,crop1,crop2
wheat_HarvestTime_10,wheat,cereal,HarvestTime,When to harvest wheat?,"📅 **Wheat HARVEST TIME IN PAKISTAN** 📅

**Harvest Period:** March to May
**Crop Duration:** 110-130 days

**Maturity Signs:**
• Grains become hard, straw turns golden yellow, moisture content 20-25%

**Harvesting Method:** 
• Small fields: Manual harvesting
• Large fields: Mechanical harvester/combine

**Moisture Content at Harvest:** 
• Grain crops: 20-25%
• For storage: Dry to 12-14% moisture

**Post-Harvest:** Clean, dry, and store in proper conditions to maintain quality.",Sindh,,2026-02-12T19:42:49.028972,,
wheat_HarvestTime_11,wheat,cereal,HarvestTime,wheat harvesting time,"📅 **Wheat HARVEST TIME IN PAKISTAN** 📅

**Harvest Period:** March to May
**Crop Duration:** 110-130 days

**Maturity Signs:**
• Grains become hard, straw turns golden yellow, moisture content 20-25%

**Harvesting Method:** 
• Small fields: Manual harvesting
• Large fields: Mechanical harvester/combine

**Moisture Content at Harvest:** 
• Grain crops: 20-25%
• For storage: Dry to 12-14% moisture

**Post-Harvest:** Clean, dry, and store in proper conditions to maintain quality.",KPK,,2026-02-12T19:42:49.028972,,
wheat_HarvestTime_12,wheat,cereal,HarvestTime,How to know wheat is ready for harvest?,"📅 **Wheat HARVEST TIME IN PAKISTAN** 📅

**Harvest Period:** March to May
**Crop Duration:** 110-130 days

**Maturity Signs:**
• Grains become hard, straw turns golden yellow, moisture content 20-25%

**Harvesting Method:** 
• Small fields: Manual harvesting
• Large fields: Mechanical harvester/combine

**Moisture Content at Harvest:** 
• Grain crops: 20-25%
• For storage: Dry to 12-14% moisture

**Post-Harvest:** Clean, dry, and store in proper conditions to maintain quality.",KPK,,2026-02-12T19:42:49.028972,,
wheat_HarvestTime_13,wheat,cereal,HarvestTime,When is wheat harvested in Sindh?,"📅 **Wheat HARVEST TIME IN PAKISTAN** 📅

**Harvest Period:** March to May
**Crop Duration:** 110-130 days

**Maturity Signs:**
• Grains become hard, straw turns golden yellow, moisture content 20-25%

**Harvesting Method:** 
• Small fields: Manual harvesting
• Large fields: Mechanical harvester/combine

**Moisture Content at Harvest:** 
• Grain crops: 20-25%
• For storage: Dry to 12-14% moisture

**Post-Harvest:** Clean, dry, and store in proper conditions to maintain quality.",Sindh,,2026-02-12T19:42:49.028972,,
wheat_HarvestTime_14,wheat,cereal,HarvestTime,Harvesting season for wheat,"📅 **Wheat HARVEST TIME IN PAKISTAN** 📅

**Harvest Period:** March to May
**Crop Duration:** 110-130 days

**Maturity Signs:**
• Grains become hard, straw turns golden yellow, moisture content 20-25%

**Harvesting Method:** 
• Small fields: Manual harvesting
• Large fields: Mechanical harvester/combine

**Moisture Content at Harvest:** 
• Grain crops: 20-25%
• For storage: Dry to 12-14% moisture

**Post-Harvest:** Clean, dry, and store in proper conditions to maintain quality.",Sindh,,2026-02-12T19:42:49.028972,,
wheat_Soil_15,wheat,cereal,Soil,What type of soil is best for wheat?,"🌱 **SOIL REQUIREMENTS FOR WHEAT** 🌱

**Preferred Soil Type:** Loamy, clay loam
**Ideal pH Range:** 6.0-7.5

**Soil Preparation:**
• Plough the field 2-3 times to achieve fine tilth
• Level the field for uniform irrigation
• Apply well-decomposed FYM 15-20 tons/acre during land preparation
• Ensure proper drainage

**Soil Testing:** Always conduct soil test before planting to determine nutrient status and pH. Collect samples from 10-15 spots per field from 0-6 inch depth.",Sindh,,2026-02-12T19:42:49.028972,,
wheat_Soil_16,wheat,cereal,Soil,Soil requirements for wheat,"🌱 **SOIL REQUIREMENTS FOR WHEAT** 🌱

**Preferred Soil Type:** Loamy, clay loam
**Ideal pH Range:** 6.0-7.5

**Soil Preparation:**
• Plough the field 2-3 times to achieve fine tilth
• Level the field for uniform irrigation
• Apply well-decomposed FYM 15-20 tons/acre during land preparation
• Ensure proper drainage

**Soil Testing:** Always conduct soil test before planting to determine nutrient status and pH. Collect samples from 10-15 spots per field from 0-6 inch depth.",Sindh,,2026-02-12T19:42:49.028972,,
wheat_Soil_17,wheat,cereal,Soil,Which soil is suitable for wheat?,"🌱 **SOIL REQUIREMENTS FOR WHEAT** 🌱

**Preferred Soil Type:** Loamy, clay loam
**Ideal pH Range:** 6.0-7.5

**Soil Preparation:**
• Plough the field 2-3 times to achieve fine tilth
• Level the field for uniform irrigation
• Apply well-decomposed FYM 15-20 tons/acre during land preparation
• Ensure proper drainage

**Soil Testing:** Always conduct soil test before planting to determine nutrient status and pH. Collect samples from 10-15 spots per field from 0-6 inch depth.",Sindh,,2026-02-12T19:42:49.028972,,
wheat_Soil_18,wheat,cereal,Soil,Ideal pH for wheat cultivation,"🌱 **SOIL REQUIREMENTS FOR WHEAT** 🌱

**Preferred Soil Type:** Loamy, clay loam
**Ideal pH Range:** 6.0-7.5

**Soil Preparation:**
• Plough the field 2-3 times to achieve fine tilth
• Level the field for uniform irrigation
• Apply well-decomposed FYM 15-20 tons/acre during land preparation
• Ensure proper drainage

**Soil Testing:** Always conduct soil test before planting to determine nutrient status and pH. Collect samples from 10-15 spots per field from 0-6 inch depth.",Sindh,,2026-02-12T19:42:49.028972,,
wheat_Soil_19,wheat,cereal,Soil,How to prepare soil for wheat?,"🌱 **SOIL REQUIREMENTS FOR WHEAT** 🌱

**Preferred Soil Type:** Loamy, clay loam
**Ideal pH Range:** 6.0-7.5

**Soil Preparation:**
• Plough the field 2-3 times to achieve fine tilth
• Level the field for uniform irrigation
• Apply well-decomposed FYM 15-20 tons/acre during land preparation
• Ensure proper drainage

**Soil Testing:** Always conduct soil test before planting to determine nutrient status and pH. Collect samples from 10-15 spots per field from 0-6 inch depth.",Balochistan,,2026-02-12T19:42:49.028972,,
wheat_Irrigation_20,wheat,cereal,Irrigation,Water requirements for wheat,"💧 **IRRIGATION GUIDE FOR WHEAT** 💧

**Water Requirement:** 4-5 irrigations

**Critical Irrigation Stages:**
• Crown root initiation (20-25 days), Tillering (45-50 days), Flowering (75-80 days), Grain filling (100-105 days)

**Recommended Methods:**
• Traditional: Flood/furrow irrigation
• Efficient: Drip irrigation (saves 30-50% water)
• Sprinkler: Suitable for light soils

**Irrigation Interval:**
• Summer: 7-10 days
• Winter: 10-15 days

**Government Subsidy:** 60-80% subsidy available on drip and sprinkler irrigation systems. Contact Agriculture Department.",Balochistan,,2026-02-12T19:42:49.028972,,
wheat_Irrigation_21,wheat,cereal,Irrigation,How many irrigations for wheat?,"💧 **IRRIGATION GUIDE FOR WHEAT** 💧

**Water Requirement:** 4-5 irrigations

**Critical Irrigation Stages:**
• Crown root initiation (20-25 days), Tillering (45-50 days), Flowering (75-80 days), Grain filling (100-105 days)

**Recommended Methods:**
• Traditional: Flood/furrow irrigation
• Efficient: Drip irrigation (saves 30-50% water)
• Sprinkler: Suitable for light soils

**Irrigation Interval:**
• Summer: 7-10 days
• Winter: 10-15 days

**Government Subsidy:** 60-80% subsidy available on drip and sprinkler irrigation systems. Contact Agriculture Department.",KPK,,2026-02-12T19:42:49.028972,,
wheat_Irrigation_22,wheat,cereal,Irrigation,Irrigation schedule for wheat,"💧 **IRRIGATION GUIDE FOR WHEAT** 💧

**Water Requirement:** 4-5 irrigations

**Critical Irrigation Stages:**
• Crown root initiation (20-25 days), Tillering (45-50 days), Flowering (75-80 days), Grain filling (100-105 days)

**Recommended Methods:**
• Traditional: Flood/furrow irrigation
• Efficient: Drip irrigation (saves 30-50% water)
• Sprinkler: Suitable for light soils

**Irrigation Interval:**
• Summer: 7-10 days
• Winter: 10-15 days

**Government Subsidy:** 60-80% subsidy available on drip and sprinkler irrigation systems. Contact Agriculture Department.",KPK,,2026-02-12T19:42:49.028972,,
wheat_Irrigation_23,wheat,cereal,Irrigation,Best irrigation method for wheat,"💧 **IRRIGATION GUIDE FOR WHEAT** 💧

**Water Requirement:** 4-5 irrigations

**Critical Irrigation Stages:**
• Crown root initiation (20-25 days), Tillering (45-50 days), Flowering (75-80 days), Grain filling (100-105 days)

**Recommended Methods:**
• Traditional: Flood/furrow irrigation
• Efficient: Drip irrigation (saves 30-50% water)
• Sprinkler: Suitable for light soils

**Irrigation Interval:**
• Summer: 7-10 days
• Winter: 10-15 days

**Government Subsidy:** 60-80% subsidy available on drip and sprinkler irrigation systems. Contact Agriculture Department.",KPK,,2026-02-12T19:42:49.028972,,
wheat_Irrigation_24,wheat,cereal,Irrigation,How to irrigate wheat?,"💧 **IRRIGATION GUIDE FOR WHEAT** 💧

**Water Requirement:** 4-5 irrigations

**Critical Irrigation Stages:**
• Crown root initiation (20-25 days), Tillering (45-50 days), Flowering (75-80 days), Grain filling (100-105 days)

**Recommended Methods:**
• Traditional: Flood/furrow irrigation
• Efficient: Drip irrigation (saves 30-50% water)
• Sprinkler: Suitable for light soils

**Irrigation Interval:**
• Summer: 7-10 days
• Winter: 10-15 days

**Government Subsidy:** 60-80% subsidy available on drip and sprinkler irrigation systems. Contact Agriculture Department.",Punjab,,2026-02-12T19:42:49.028972,,
wheat_Fertilizer_25,wheat,cereal,Fertilizer,Fertilizer recommendation for wheat,"💊 **FERTILIZER RECOMMENDATION FOR WHEAT (PER ACRE)** 💊

**Recommended Dose:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre

**Application Schedule:**
• **Basal Dose (At Sowing):** Apply full DAP + MOP + 1/3 Urea
• **Vegetative Stage (25-30 days):** 1/3 Urea top dressing
• **Reproductive Stage (45-60 days):** 1/3 Urea top dressing

**Organic Option:**
• Farm Yard Manure: 15-20 tons/acre during land preparation
• Green manuring: Dhaincha, Sunn hemp

**Micronutrients (Soil Test Based):**
• Zinc: 10-15 kg/acre (Zinc Sulphate)
• Boron: 2-3 kg/acre (Borax)

**Tip:** Split nitrogen application increases efficiency by 30%.",Punjab,,2026-02-12T19:42:49.028972,,
wheat_Fertilizer_26,wheat,cereal,Fertilizer,How much fertilizer for wheat per acre?,"💊 **FERTILIZER RECOMMENDATION FOR WHEAT (PER ACRE)** 💊

**Recommended Dose:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre

**Application Schedule:**
• **Basal Dose (At Sowing):** Apply full DAP + MOP + 1/3 Urea
• **Vegetative Stage (25-30 days):** 1/3 Urea top dressing
• **Reproductive Stage (45-60 days):** 1/3 Urea top dressing

**Organic Option:**
• Farm Yard Manure: 15-20 tons/acre during land preparation
• Green manuring: Dhaincha, Sunn hemp

**Micronutrients (Soil Test Based):**
• Zinc: 10-15 kg/acre (Zinc Sulphate)
• Boron: 2-3 kg/acre (Borax)

**Tip:** Split nitrogen application increases efficiency by 30%.",Punjab,,2026-02-12T19:42:49.028972,,
wheat_Fertilizer_27,wheat,cereal,Fertilizer,NPK ratio for wheat,"💊 **FERTILIZER RECOMMENDATION FOR WHEAT (PER ACRE)** 💊

**Recommended Dose:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre

**Application Schedule:**
• **Basal Dose (At Sowing):** Apply full DAP + MOP + 1/3 Urea
• **Vegetative Stage (25-30 days):** 1/3 Urea top dressing
• **Reproductive Stage (45-60 days):** 1/3 Urea top dressing

**Organic Option:**
• Farm Yard Manure: 15-20 tons/acre during land preparation
• Green manuring: Dhaincha, Sunn hemp

**Micronutrients (Soil Test Based):**
• Zinc: 10-15 kg/acre (Zinc Sulphate)
• Boron: 2-3 kg/acre (Borax)

**Tip:** Split nitrogen application increases efficiency by 30%.",KPK,,2026-02-12T19:42:49.028972,,
wheat_Fertilizer_28,wheat,cereal,Fertilizer,Best fertilizer for wheat,"💊 **FERTILIZER RECOMMENDATION FOR WHEAT (PER ACRE)** 💊

**Recommended Dose:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre

**Application Schedule:**
• **Basal Dose (At Sowing):** Apply full DAP + MOP + 1/3 Urea
• **Vegetative Stage (25-30 days):** 1/3 Urea top dressing
• **Reproductive Stage (45-60 days):** 1/3 Urea top dressing

**Organic Option:**
• Farm Yard Manure: 15-20 tons/acre during land preparation
• Green manuring: Dhaincha, Sunn hemp

**Micronutrients (Soil Test Based):**
• Zinc: 10-15 kg/acre (Zinc Sulphate)
• Boron: 2-3 kg/acre (Borax)

**Tip:** Split nitrogen application increases efficiency by 30%.",KPK,,2026-02-12T19:42:49.028972,,
wheat_Fertilizer_29,wheat,cereal,Fertilizer,Organic fertilizer for wheat,"💊 **FERTILIZER RECOMMENDATION FOR WHEAT (PER ACRE)** 💊

**Recommended Dose:** NPK 120:60:40 kg/ha, Urea 2-3 bags/acre, DAP 1-2 bags/acre

**Application Schedule:**
• **Basal Dose (At Sowing):** Apply full DAP + MOP + 1/3 Urea
• **Vegetative Stage (25-30 days):** 1/3 Urea top dressing
• **Reproductive Stage (45-60 days):** 1/3 Urea top dressing

**Organic Option:**
• Farm Yard Manure: 15-20 tons/acre during land preparation
• Green manuring: Dhaincha, Sunn hemp

**Micronutrients (Soil Test Based):**
• Zinc: 10-15 kg/acre (Zinc Sulphate)
• Boron: 2-3 kg/acre (Borax)

**Tip:** Split nitrogen application increases efficiency by 30%.",KPK,,2026-02-12T19:42:49.028972,,
wheat_Pesticide_30,wheat,cereal,Pesticide,Common pests of wheat,"🐛 **PEST MANAGEMENT IN WHEAT** 🐛

**Major Pests in Pakistan:**
• Aphids
• Armyworm
• Termites

**Integrated Pest Management (IPM) Strategies:**

🌱 **Cultural Control:**
• Use resistant varieties
• Optimal planting time
• Proper spacing
• Balanced fertilization
• Crop rotation

🦋 **Biological Control:**
• Release Trichogramma wasps for borers
• Ladybird beetles for aphids
• NPV for bollworms

⚙️ **Mechanical Control:**
• Pheromone traps
• Yellow sticky traps (for whitefly)
• Light traps

💊 **Chemical Control (Last Resort):**
• Use recommended pesticides at economic threshold level
• Rotate chemical groups to avoid resistance

**Organic Options:** Neem oil (5ml/L), garlic extract for light infestations.",KPK,,2026-02-12T19:42:49.029971,,
wheat_Pesticide_31,wheat,cereal,Pesticide,How to control pests in wheat?,"🐛 **PEST MANAGEMENT IN WHEAT** 🐛

**Major Pests in Pakistan:**
• Aphids
• Armyworm
• Termites

**Integrated Pest Management (IPM) Strategies:**

🌱 **Cultural Control:**
• Use resistant varieties
• Optimal planting time
• Proper spacing
• Balanced fertilization
• Crop rotation

🦋 **Biological Control:**
• Release Trichogramma wasps for borers
• Ladybird beetles for aphids
• NPV for bollworms

⚙️ **Mechanical Control:**
• Pheromone traps
• Yellow sticky traps (for whitefly)
• Light traps

💊 **Chemical Control (Last Resort):**
• Use recommended pesticides at economic threshold level
• Rotate chemical groups to avoid resistance

**Organic Options:** Neem oil (5ml/L), garlic extract for light infestations.",KPK,,2026-02-12T19:42:49.029971,,
wheat_Pesticide_32,wheat,cereal,Pesticide,Pest management in wheat,"🐛 **PEST MANAGEMENT IN WHEAT** 🐛

**Major Pests in Pakistan:**
• Aphids
• Armyworm
• Termites

**Integrated Pest Management (IPM) Strategies:**

🌱 **Cultural Control:**
• Use resistant varieties
• Optimal planting time
• Proper spacing
• Balanced fertilization
• Crop rotation

🦋 **Biological Control:**
• Release Trichogramma wasps for borers
• Ladybird beetles for aphids
• NPV for bollworms

⚙️ **Mechanical Control:**
• Pheromone traps
• Yellow sticky traps (for whitefly)
• Light traps

💊 **Chemical Control (Last Resort):**
• Use recommended pesticides at economic threshold level
• Rotate chemical groups to avoid resistance

**Organic Options:** Neem oil (5ml/L), garlic extract for light infestations.",Balochistan,,2026-02-12T19:42:49.029971,,
wheat_Pesticide_33,wheat,cereal,Pesticide,Insecticides for wheat,"🐛 **PEST MANAGEMENT IN WHEAT** 🐛

**Major Pests in Pakistan:**
• Aphids
• Armyworm
• Termites

**Integrated Pest Management (IPM) Strategies:**

🌱 **Cultural Control:**
• Use resistant varieties
• Optimal planting time
• Proper spacing
• Balanced fertilization
• Crop rotation

🦋 **Biological Control:**
• Release Trichogramma wasps for borers
• Ladybird beetles for aphids
• NPV for bollworms

⚙️ **Mechanical Control:**
• Pheromone traps
• Yellow sticky traps (for whitefly)
• Light traps

💊 **Chemical Control (Last Resort):**
• Use recommended pesticides at economic threshold level
• Rotate chemical groups to avoid resistance

**Organic Options:** Neem oil (5ml/L), garlic extract for light infestations.",Balochistan,,2026-02-12T19:42:49.029971,,
wheat_Pesticide_34,wheat,cereal,Pesticide,Organic pest control for wheat,"🐛 **PEST MANAGEMENT IN WHEAT** 🐛

**Major Pests in Pakistan:**
• Aphids
• Armyworm
• Termites

**Integrated Pest Management (IPM) Strategies:**

🌱 **Cultural Control:**
• Use resistant varieties
• Optimal planting time
• Proper spacing
• Balanced fertilization
• Crop rotation

🦋 **Biological Control:**
• Release Trichogramma wasps for borers
• Ladybird beetles for aphids
• NPV for bollworms

⚙️ **Mechanical Control:**
• Pheromone traps
• Yellow sticky traps (for whitefly)
• Light traps

💊 **Chemical Control (Last Resort):**
• Use recommended pesticides at economic threshold level
• Rotate chemical groups to avoid resistance

**Organic Options:** Neem oil (5ml/L), garlic extract for light infestations.",Balochistan,,2026-02-12T19:42:49.029971,,
wheat_Diseases_35,wheat,cereal,Diseases,Common diseases of wheat,"🦠 **DISEASE MANAGEMENT IN WHEAT** 🦠

**Common Diseases in Pakistan:**
• Yellow Rust
• Leaf Rust
• Karnal Bunt
• Powdery Mildew

**Preventive Measures:**
• Use disease-resistant varieties
• Treat seeds before sowing
• Practice crop rotation (2-3 years)
• Maintain field sanitation
• Avoid water stress

**Chemical Control:**
• Apply recommended fungicides at early stages
• Follow proper dosage and timing
• Rotate fungicides to avoid resistance

**Biological Control:**
• Trichoderma harzianum for soil-borne diseases
• Pseudomonas fluorescens

**Integrated Disease Management (IDM):** Combine resistant varieties, cultural practices, biological control, and need-based chemical application.",Balochistan,,2026-02-12T19:42:49.029971,,
wheat_Diseases_36,wheat,cereal,Diseases,How to control diseases in wheat?,"🦠 **DISEASE MANAGEMENT IN WHEAT** 🦠

**Common Diseases in Pakistan:**
• Yellow Rust
• Leaf Rust
• Karnal Bunt
• Powdery Mildew

**Preventive Measures:**
• Use disease-resistant varieties
• Treat seeds before sowing
• Practice crop rotation (2-3 years)
• Maintain field sanitation
• Avoid water stress

**Chemical Control:**
• Apply recommended fungicides at early stages
• Follow proper dosage and timing
• Rotate fungicides to avoid resistance

**Biological Control:**
• Trichoderma harzianum for soil-borne diseases
• Pseudomonas fluorescens

**Integrated Disease Management (IDM):** Combine resistant varieties, cultural practices, biological control, and need-based chemical application.",Balochistan,,2026-02-12T19:42:49.029971,,
wheat_Diseases_37,wheat,cereal,Diseases,Disease management in wheat,"🦠 **DISEASE MANAGEMENT IN WHEAT** 🦠

**Common Diseases in Pakistan:**
• Yellow Rust
• Leaf Rust
• Karnal Bunt
• Powdery Mildew

**Preventive Measures:**
• Use disease-resistant varieties
• Treat seeds before sowing
• Practice crop rotation (2-3 years)
• Maintain field sanitation
• Avoid water stress

**Chemical Control:**
• Apply recommended fungicides at early stages
• Follow proper dosage and timing
• Rotate fungicides to avoid resistance

**Biological Control:**
• Trichoderma harzianum for soil-borne diseases
• Pseudomonas fluorescens

**Integrated Disease Management (IDM):** Combine resistant varieties, cultural practices, biological control, and need-based chemical application.",Balochistan,,2026-02-12T19:42:49.029971,,
wheat_Diseases_38,wheat,cereal,Diseases,Fungicides for wheat diseases,"🦠 **DISEASE MANAGEMENT IN WHEAT** 🦠

**Common Diseases in Pakistan:**
• Yellow Rust
• Leaf Rust
• Karnal Bunt
• Powdery Mildew

**Preventive Measures:**
• Use disease-resistant varieties
• Treat seeds before sowing
• Practice crop rotation (2-3 years)
• Maintain field sanitation
• Avoid water stress

**Chemical Control:**
• Apply recommended fungicides at early stages
• Follow proper dosage and timing
• Rotate fungicides to avoid resistance

**Biological Control:**
• Trichoderma harzianum for soil-borne diseases
• Pseudomonas fluorescens

**Integrated Disease Management (IDM):** Combine resistant varieties, cultural practices, biological control, and need-based chemical application.",Balochistan,,2026-02-12T19:42:49.029971,,
wheat_Diseases_39,wheat,cereal,Diseases,Symptoms of wheat diseases,"🦠 **DISEASE MANAGEMENT IN WHEAT** 🦠

**Common Diseases in Pakistan:**
• Yellow Rust
• Leaf Rust
• Karnal Bunt
• Powdery Mildew

**Preventive Measures:**
• Use disease-resistant varieties
• Treat seeds before sowing
• Practice crop rotation (2-3 years)
• Maintain field sanitation
• Avoid water stress

**Chemical Control:**
• Apply recommended fungicides at early stages
• Follow proper dosage and timing
• Rotate fungicides to avoid resistance

**Biological Control:**
• Trichoderma harzianum for soil-borne diseases
• Pseudomonas fluorescens

**Integrated Disease Management (IDM):** Combine resistant varieties, cultural practices, biological control, and need-based chemical application.",Balochistan,,2026-02-12T19:42:49.029971,,
