question,answer,type,entities,timestamp
How do I grow apple in Pakistan?,"🌾 COMPLETE GUIDE: APPLE IN PAKISTAN

📅 Season: autumn
🌱 Soil: well-drained loamy, sandy loam
🌡️ Temperature: 15-28°C
💧 Water: moderate, 800-1200mm annually
📍 Regions: KPK (Swat, Hazara), Gilgit-Baltistan

🎯 Varieties: Kashmiri (Delicious), Red Delicious, Golden Delicious, Gala
💊 Fertilizer: NPK 150:75:75, urea
🐛 Pests: codling moth, apple maggot
🦠 Diseases: apple scab, powdery mildew
📈 Yield: 80-150 maunds, 4000-7500 kg

⏱️ Duration: perennial, 4-5 years to bearing
🌾 Harvest: July 15 - October 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['apple'],2026-02-12T17:23:09.557405
How to cultivate mango successfully?,"🌾 COMPLETE GUIDE: MANGO IN PAKISTAN

📅 Season: summer
🌱 Soil: well-drained loamy, sandy loam
🌡️ Temperature: 25-40°C
💧 Water: moderate, 900-1100mm annually
📍 Regions: Punjab (Multan, Bahawalpur), Sindh

🎯 Varieties: Sindhri, Langra, Chaunsa, Dusehri
💊 Fertilizer: NPK 100:50:100, urea
🐛 Pests: mango mealybug, fruit fly
🦠 Diseases: anthracnose, powdery mildew
📈 Yield: 40-100 maunds, 2000-5000 kg

⏱️ Duration: perennial, 4-6 years to bearing
🌾 Harvest: May 15 - August 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['mango'],2026-02-12T17:23:09.544877
Best practices for date palm cultivation?,"🌾 COMPLETE GUIDE: DATE PALM IN PAKISTAN

📅 Season: summer
🌱 Soil: well-drained sandy, loamy
🌡️ Temperature: 25-40°C
💧 Water: low to moderate, 600-800mm annually
📍 Regions: Balochistan (Makran), Sindh (Thar)

🎯 Varieties: Aseel, Begum Jangi, Khadrawi, Zahidi
💊 Fertilizer: NPK 50:30:50, urea
🐛 Pests: red palm weevil, date palm scale
🦠 Diseases: date palm decline, bayoud disease
📈 Yield: 40-80 maunds, 2000-4000 kg

⏱️ Duration: perennial, 4-6 years to bearing
🌾 Harvest: July 15 - October 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['date palm'],2026-02-12T17:23:09.532869
How to manage red soil effectively?,"🌍 RED SOIL PROFILE

📊 Properties:
• Texture: sandy loam to loamy
• Drainage: good
• Nutrients: low in organic matter
• Water Holding: moderate
• pH: 5.5-6.5

🌱 Suitable Crops:
• groundnut, rice (upland), millets, pigeon pea

⚠️ Challenges:
• low fertility, erosion prone on slopes

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['red'],2026-02-12T17:23:09.520351
How to improve loamy soil?,"🌍 LOAMY SOIL PROFILE

📊 Properties:
• Texture: medium
• Drainage: good
• Nutrients: moderate to high
• Water Holding: good
• pH: 6.0-7.5

🌱 Suitable Crops:
• most crops, vegetables, fruits, cereals

⚠️ Challenges:
• erosion if not managed, requires regular organic addition

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['loamy'],2026-02-12T17:23:09.530874
What are the Kharif crops in Pakistan?,"📅 KHARIF CROPS (Apr-Jul sowing, Sep-Dec harvest)

Cereals: Rice, Maize, Sorghum, Millets
Cash: Cotton
Oilseeds: Sunflower, Groundnut
Pulses: Mungbean, Urdbean
Vegetables: Tomato, Chili, Okra, Brinjal
Fruits: Mango, Guava, Melons

Key: Rice and cotton are major Kharif crops",pakistan_specific,[],2026-02-12T17:23:09.522365
Tell me about cotton farming practices in Pakistan.,"🌾 COMPLETE GUIDE: COTTON IN PAKISTAN

📅 Season: kharif
🌱 Soil: well-drained loamy, black soil
🌡️ Temperature: 21-35°C
💧 Water: moderate, 600-1200mm
📍 Regions: Punjab, Sindh

🎯 Varieties: BT-121, MNH-886, CIM-602, CIM-599
💊 Fertilizer: NPK 80:40:40, urea
🐛 Pests: bollworm, whitefly
🦠 Diseases: cotton leaf curl virus (CLCuV), bacterial blight
📈 Yield: 20-35 maunds lint, 800-1200 kg seed cotton

⏱️ Duration: 150-180 days
🌾 Harvest: October 15 - December 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['cotton'],2026-02-12T17:23:09.542876
pH range and management of sandy soil,"🌍 SANDY SOIL PROFILE

📊 Properties:
• Texture: coarse
• Drainage: excellent
• Nutrients: low to medium
• Water Holding: poor
• pH: 6.0-8.0

🌱 Suitable Crops:
• groundnut, watermelon, carrot, potato

⚠️ Challenges:
• nutrient leaching, dries quickly

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['sandy'],2026-02-12T17:23:09.527863
How to store apple after harvest?,"🌾 HARVESTING APPLE

Time: July 15 - October 15
Signs: Color change, hardness, moisture 12-14%
Methods: Manual (small), Mechanical (large)
Post-Harvest: Dry, clean, grade, store properly",practical,['apple'],2026-02-12T17:23:09.527863
sugarcane vs citrus: which is more profitable?,"🌾 COMPARISON: SUGARCANE vs CITRUS

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Sugarcane          │ Citrus             │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ spring             │ winter             │
│ Duration     │ 10-16 months       │ perennial          │
│ Soil         │ deep fertile loamy │ well-drained loamy │
│ Water        │ high               │ moderate           │
│ Yield/Acre   │ 600-800 maunds     │ 80-150 maunds      │
└──────────────┴────────────────────┴────────────────────┘

Sugarcane: Punjab, Sindh
Citrus: Punjab (Sahiwal, Sargodha), Sindh",comparison_crop,"['sugarcane', 'citrus']",2026-02-12T17:23:09.535877
What are the requirements for cauliflower cultivation?,"🌾 COMPLETE GUIDE: CAULIFLOWER IN PAKISTAN

📅 Season: rabi
🌱 Soil: loamy, clay loam
🌡️ Temperature: 15-20°C
💧 Water: moderate, 400-500mm
📍 Regions: Punjab, KPK

🎯 Varieties: Snowball, Early Kunwari, Punjab-2013, NAB-506
💊 Fertilizer: NPK 100:60:60, urea
🐛 Pests: diamondback moth, cabbage worm
🦠 Diseases: black rot, club root
📈 Yield: 120-200 maunds, 6000-10000 kg

⏱️ Duration: 90-120 days
🌾 Harvest: December 15 - February 28

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['cauliflower'],2026-02-12T17:23:09.541879
How to cultivate onion successfully?,"🌾 COMPLETE GUIDE: ONION IN PAKISTAN

📅 Season: rabi
🌱 Soil: sandy loam, loamy
🌡️ Temperature: 13-24°C
💧 Water: moderate, 350-550mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Phulkara, Swat-1, Sialkot Local, Red Pinoy
💊 Fertilizer: NPK 100:50:50, urea
🐛 Pests: thrips, onion fly
🦠 Diseases: purple blotch, downy mildew
📈 Yield: 100-180 maunds, 5000-9000 kg

⏱️ Duration: 100-150 days
🌾 Harvest: March 15 - May 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['onion'],2026-02-12T17:23:09.546877
carrot cultivation guide for Pakistani farmers,"🌾 COMPLETE GUIDE: CARROT IN PAKISTAN

📅 Season: rabi
🌱 Soil: sandy loam, loamy sand
🌡️ Temperature: 16-20°C
💧 Water: moderate, 350-450mm
📍 Regions: Punjab, KPK

🎯 Varieties: T-29, Nantes, Red Core, Chantenay
💊 Fertilizer: NPK 60:40:40, urea
🐛 Pests: aphids, carrot fly
🦠 Diseases: leaf blight, alternaria leaf spot
📈 Yield: 80-150 maunds, 4000-7500 kg

⏱️ Duration: 90-110 days
🌾 Harvest: December 15 - March 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['carrot'],2026-02-12T17:23:09.545876
Crop suggestions for KPK's mountainous terrain?,"Pakistan agriculture: Diverse across provinces. Punjab leads in wheat/rice, Sindh in rice/cotton, Balochistan in dates/fruits, KPK in fruits/vegetables. Contact local extension for specifics.",pakistan_specific,['mountain'],2026-02-12T17:23:09.541879
What is the expected yield of brinjal per acre?,"🌾 COMPLETE GUIDE: BRINJAL IN PAKISTAN

📅 Season: kharif
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 22-30°C
💧 Water: moderate, 400-600mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Black Beauty, Purple Long, Faisalabad Long, NAB-502
💊 Fertilizer: NPK 100:60:60, urea
🐛 Pests: shoot borer, whitefly
🦠 Diseases: bacterial wilt, phomopsis blight
📈 Yield: 120-200 maunds, 6000-10000 kg

⏱️ Duration: 100-120 days
🌾 Harvest: September 30 - November 30

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['brinjal'],2026-02-12T17:23:09.535877
Compare red and clay soils for agriculture,"📊 COMPARISON: RED vs CLAY SOIL

┌─────────────┬────────────────┬────────────────┐
│ Property    │ Red            │ Clay           │
├─────────────┼────────────────┼────────────────┤
│ Texture     │ sandy loam to loamy │ fine           │
│ Drainage    │ good           │ poor to moderate │
│ Water Hold  │ moderate       │ excellent      │
│ Nutrients   │ low in organic matter │ high           │
└─────────────┴────────────────┴────────────────┘

Red crops: groundnut, rice (upland), millets
Clay crops: rice, wheat, sugarcane",comparison_soil,"['red', 'clay']",2026-02-12T17:23:09.519840
How do I grow gram (chickpea) in Pakistan?,"🌾 COMPLETE GUIDE: GRAM (CHICKPEA) IN PAKISTAN

📅 Season: rabi
🌱 Soil: sandy loam, well-drained loamy
🌡️ Temperature: 15-25°C
💧 Water: low, 300-500mm, rainfed preferred
📍 Regions: Punjab, Sindh

🎯 Varieties: Desi (ICC-4958), Kabuli (BENA), Noor-91, Thal-2006
💊 Fertilizer: DAP 50-100 kg/acre, organic manure
🐛 Pests: pod borer, cutworm
🦠 Diseases: ascochyta blight, wilt
📈 Yield: 15-25 maunds, 600-1000 kg

⏱️ Duration: 90-120 days
🌾 Harvest: February 15 - March 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['gram (chickpea)'],2026-02-12T17:23:09.537876
Difference between red and alluvial soil,"📊 COMPARISON: RED vs ALLUVIAL SOIL

┌─────────────┬────────────────┬────────────────┐
│ Property    │ Red            │ Alluvial       │
├─────────────┼────────────────┼────────────────┤
│ Texture     │ sandy loam to loamy │ variable       │
│ Drainage    │ good           │ good           │
│ Water Hold  │ moderate       │ variable       │
│ Nutrients   │ low in organic matter │ high           │
└─────────────┴────────────────┴────────────────┘

Red crops: groundnut, rice (upland), millets
Alluvial crops: rice, wheat, sugarcane",comparison_soil,"['red', 'alluvial']",2026-02-12T17:23:09.521355
Crops suitable for sandy loam soil in Pakistan,"🌍 SANDY LOAM SOIL PROFILE

📊 Properties:
• Texture: medium coarse
• Drainage: good to excellent
• Nutrients: low to moderate
• Water Holding: moderate
• pH: 6.0-7.5

🌱 Suitable Crops:
• maize, cotton, tomato, onion

⚠️ Challenges:
• nutrient leaching, requires more fertilizer

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,"['sandy', 'sandy loam']",2026-02-12T17:23:09.557405
How long does maize take to grow?,"🌾 COMPLETE GUIDE: MAIZE IN PAKISTAN

📅 Season: kharif, spring
🌱 Soil: well-drained loamy, sandy loam
🌡️ Temperature: 18-27°C
💧 Water: moderate, 500-800mm
📍 Regions: Punjab, KPK

🎯 Varieties: Azam, Jalal, Pioneer hybrids, NK hybrids
💊 Fertilizer: NPK 150:75:75, urea
🐛 Pests: stem borer, armyworm
🦠 Diseases: northern corn leaf blight, stalk rot
📈 Yield: 60-100 maunds, 3500-5000 kg

⏱️ Duration: 90-110 days
🌾 Harvest: September 15 - October 30

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['maize'],2026-02-12T17:23:09.541879
How do I grow groundnut in Pakistan?,"🌾 COMPLETE GUIDE: GROUNDNUT IN PAKISTAN

📅 Season: kharif
🌱 Soil: well-drained sandy loam, loamy sand
🌡️ Temperature: 25-30°C
💧 Water: moderate, 500-700mm
📍 Regions: Punjab, Sindh

🎯 Varieties: BARD-482, Golden, Jumber-95, M-522
💊 Fertilizer: NPK 40:60:40, DAP
🐛 Pests: termites, white grub
🦠 Diseases: early leaf spot, late leaf spot
📈 Yield: 25-40 maunds (pods), 1000-1600 kg

⏱️ Duration: 120-140 days
🌾 Harvest: October 15 - November 30

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['groundnut'],2026-02-12T17:23:09.537876
Properties of sandy loam soil for agriculture,"🌍 SANDY LOAM SOIL PROFILE

📊 Properties:
• Texture: medium coarse
• Drainage: good to excellent
• Nutrients: low to moderate
• Water Holding: moderate
• pH: 6.0-7.5

🌱 Suitable Crops:
• maize, cotton, tomato, onion

⚠️ Challenges:
• nutrient leaching, requires more fertilizer

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,"['sandy', 'sandy loam']",2026-02-12T17:23:09.533870
How do I grow apple in Pakistan?,"🌾 COMPLETE GUIDE: APPLE IN PAKISTAN

📅 Season: autumn
🌱 Soil: well-drained loamy, sandy loam
🌡️ Temperature: 15-28°C
💧 Water: moderate, 800-1200mm annually
📍 Regions: KPK (Swat, Hazara), Gilgit-Baltistan

🎯 Varieties: Kashmiri (Delicious), Red Delicious, Golden Delicious, Gala
💊 Fertilizer: NPK 150:75:75, urea
🐛 Pests: codling moth, apple maggot
🦠 Diseases: apple scab, powdery mildew
📈 Yield: 80-150 maunds, 4000-7500 kg

⏱️ Duration: perennial, 4-5 years to bearing
🌾 Harvest: July 15 - October 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['apple'],2026-02-12T17:23:09.536878
Best practices for wheat cultivation?,"🌾 COMPLETE GUIDE: WHEAT IN PAKISTAN

📅 Season: rabi, winter
🌱 Soil: loamy, clay loam
🌡️ Temperature: 10-25°C
💧 Water: moderate, 450-650mm annually
📍 Regions: Punjab, Sindh

🎯 Varieties: Sehar-2006, Faisalabad-2008, Galaxy-2013, Inqalab-91
💊 Fertilizer: NPK 120:60:40, urea
🐛 Pests: aphids, armyworm
🦠 Diseases: rust (yellow, brown, stem), loose smut
📈 Yield: 25-35 maunds, 3000-4000 kg

⏱️ Duration: 110-130 days
🌾 Harvest: April 15 - May 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['wheat'],2026-02-12T17:23:09.534870
watermelon vs apple: yield comparison per acre,"🌾 COMPARISON: WATERMELON vs APPLE

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Watermelon         │ Apple              │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ kharif             │ autumn             │
│ Duration     │ 75-90 days         │ perennial          │
│ Soil         │ sandy loam         │ well-drained loamy │
│ Water        │ moderate           │ moderate           │
│ Yield/Acre   │ 100-180 maunds     │ 80-150 maunds      │
└──────────────┴────────────────────┴────────────────────┘

Watermelon: Punjab, Sindh
Apple: KPK (Swat, Hazara), Gilgit-Baltistan",comparison_crop,"['watermelon', 'apple']",2026-02-12T17:23:09.533870
How to prepare land for rice cultivation?,"🔨 LAND PREPARATION FOR RICE

Best Soil: clay, clay loam, alluvial, water-retentive

Steps:
1. Clear residues (1 week before)
2. Deep plough 15-20cm
3. Second plough after 7-10 days
4. Harrow for fine tilth
5. Level properly
6. Add basal fertilizer
7. Make irrigation channels",practical,['rice'],2026-02-12T17:23:09.543879
How to control pests in gram (chickpea) organically?,"🌿 ORGANIC GRAM (CHICKPEA)

Soil: FYM 15-20 tons/acre, compost
Seed: Organic sources, biocontrol treatment
Pests: Neem, beneficial insects, traps
Diseases: Bio-fungicides, resistant varieties
Fertilizer: Vermicompost, jeevamrit

Certification: 3-year conversion period",practical,['gram (chickpea)'],2026-02-12T17:23:09.534870
Best crops for Sindh's hot and humid climate?,"🌾 SINDH AGRICULTURE

Major Crops:
• Rice (IRRI varieties)
• Cotton, Sugarcane
• Mangoes (Sindhri)
• Bananas

Challenges:
• Water scarcity
• Salinity
• Monsoon flooding

Hot, humid climate
Indus River irrigation",pakistan_specific,[],2026-02-12T17:23:09.556405
What are the requirements for sorghum cultivation?,"🌾 COMPLETE GUIDE: SORGHUM IN PAKISTAN

📅 Season: kharif
🌱 Soil: well-drained loamy, sandy loam
🌡️ Temperature: 25-35°C
💧 Water: moderate, 450-650mm
📍 Regions: Punjab, Sindh

🎯 Varieties: YSS-39, SSG-59, CSV-15, SPV-1411
💊 Fertilizer: NPK 80:40:20, urea
🐛 Pests: stem borer, shoot fly
🦠 Diseases: anthracnose, grain mold
📈 Yield: 35-55 maunds, 1500-2500 kg

⏱️ Duration: 90-120 days
🌾 Harvest: September 15 - November 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['sorghum'],2026-02-12T17:23:09.536878
How to cultivate spinach successfully?,"🌾 COMPLETE GUIDE: SPINACH IN PAKISTAN

📅 Season: rabi
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 15-20°C
💧 Water: moderate, 300-400mm
📍 Regions: All Pakistan

🎯 Varieties: Local Green, Punjab Green, All Green
💊 Fertilizer: NPK 60:40:40, urea
🐛 Pests: leaf miner, aphids
🦠 Diseases: downy mildew, powdery mildew
📈 Yield: 40-70 maunds, 2000-3500 kg

⏱️ Duration: 30-45 days
🌾 Harvest: November 15 - March 31, multiple cuttings possible

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['spinach'],2026-02-12T17:23:09.527863
How to improve loamy soil?,"🌍 LOAMY SOIL PROFILE

📊 Properties:
• Texture: medium
• Drainage: good
• Nutrients: moderate to high
• Water Holding: good
• pH: 6.0-7.5

🌱 Suitable Crops:
• most crops, vegetables, fruits, cereals

⚠️ Challenges:
• erosion if not managed, requires regular organic addition

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['loamy'],2026-02-12T17:23:09.540875
